name,price,old_price,url
Потолочная люстра MyFar Luna MR1310-5C,13 356,16 695 ₽,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_luna_mr1310-5c/
Подвесная люстра светодиодная MyFar Ricky MR1260-PL,27 036,41 594 ₽,https://lu.ru/sortament/lyustri/podvesnie/podvesnaya_lyustra_svetodiodnaya_ricky_mr1260-pl/
Подвесная люстра MyFar Aerton MR1940-16P,28 046,32 995 ₽,https://lu.ru/sortament/lyustri/podvesnie/podvesnaya_lyustra_myfar_aerton_mr1940-16p/
Потолочная люстра MyFar Finn MR2450-1P,19 995,,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_myfar_finn_mr2450-1p/
Потолочная люстра на штанге Maytoni Memory MOD177PL-04B,44 990,,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_na_shtange_maytoni_memory_mod177pl-04b/
Потолочная люстра Maytoni Nostalgia MOD048PL-06G,35 490,,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_nostalgia_mod048pl-06g/
Потолочная люстра Maytoni Gilbert T532CL-08B,13 990,,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_gilbert_t532cl-08b/
Потолочная люстра на штанге Maytoni Museo MOD436PL-05BS,35 490,,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_na_shtange_maytoni_museo_mod436pl-05bs/
Потолочная люстра Maytoni Nostalgia MOD048CL-06G,34 990,,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_nostalgia_mod048cl-06g/
Потолочная люстра на штанге Odeon Light Elica 5402/6,11 957,26 570 ₽,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_na_shtange_elica_5402_6/
Подвесная люстра Odeon Light Tovi 4818/10,27 660,,https://lu.ru/sortament/lyustri/podvesnie/podvesnaya_lyustra_tovi_4818_10/
Потолочная люстра Odeon Light Candy 4861/5C,45 790,,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_candy_4861_5c/
Подвесная люстра Odeon Light Tovi 4818/14,46 120,,https://lu.ru/sortament/lyustri/podvesnie/podvesnaya_lyustra_tovi_4818_14/
Потолочная люстра Arte Lamp Oscar A7141PL-5WH,16 191,17 990 ₽,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_a7141pl-5wh/
"Подвесная люстра с пультом LED Arte Lamp Swing A2522SP-2WH (Умный дом, Алиса)",24 291,26 990 ₽,https://lu.ru/sortament/lyustri/podvesnie/podvesnaya_lyustra_swing_a2522sp-2wh/
Подвесная люстра Odeon Light Coins 5104/8 золотистый/прозрачный металл/стекло E14 8*40W 220В,54 900,,https://lu.ru/sortament/lyustri/podvesnie/podvesnaya_lyustra_odeon_light_coins_5104_8_zolotistyj_prozrachnyj_metall_steklo_e14_8_40w_220v/
Потолочная люстра светодиодная Arte Lamp Ramona A7410PL-24CC,10 161,11 290 ₽,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_svetodiodnaya_a7410pl-24cc/
Потолочная люстра светодиодная Arte Lamp Candy A7274PL-27GO,16 990,,https://lu.ru/sortament/lyustri/potolochnie/potolochnaya_lyustra_svetodiodnaya_candy_a7274pl-27go/
"Люстра подвесная (светильник светодиодный) SP-TOR-RING-HANG-R460-33W Warm3000 (BK, 120 deg) (Arlight, IP20 Металл, 3 года) 023393(1)",28 153,,https://lu.ru/sortament/lyustri/podvesnie/lyustra_podvesnaya_svetil_nik_svetodiodnyj_sp-tor-ring-hang-r460-33w_warm3000_bk_120_deg_arlight_ip20_metall_3_goda_023393_1/
